YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2007,Oklahoma,Kiowa County,0.017222766562305137,9300,Control
2007,Oklahoma,Latimer County,0.017222766562305137,10442,Control
2007,Oklahoma,Le Flore County,0.017222766562305137,49625,Control
2007,Oklahoma,Lincoln County,0.017222766562305137,32217,Control
2007,Oklahoma,Logan County,0.017222766562305137,37330,Control
2007,Oklahoma,Love County,0.017222766562305137,9062,Control
2007,Oklahoma,McClain County,0.017222766562305137,31892,Control
2007,Oklahoma,McCurtain County,0.017222766562305137,33472,Control
2007,Oklahoma,McIntosh County,0.017222766562305137,19659,Control
2007,Oklahoma,Major County,0.017222766562305137,7184,Control
2007,Oklahoma,Marshall County,0.017222766562305137,14871,Control
2007,Oklahoma,Mayes County,0.017222766562305137,39769,Control
2007,Oklahoma,Murray County,0.017222766562305137,12646,Control
2007,Oklahoma,Muskogee County,0.016976487564722857,70686,Control
2007,Oklahoma,Noble County,0.017222766562305137,10964,Control
2007,Oklahoma,Nowata County,0.017222766562305137,10708,Control
2007,Oklahoma,Okfuskee County,0.017222766562305137,11186,Control
2007,Oklahoma,Oklahoma County,0.018584092302897832,699523,Control
2007,Oklahoma,Okmulgee County,0.017222766562305137,39269,Control
2007,Oklahoma,Osage County,0.017222766562305137,45269,Control
2007,Oklahoma,Ottawa County,0.017222766562305137,32234,Control
2007,Oklahoma,Pawnee County,0.017222766562305137,16490,Control
2007,Oklahoma,Payne County,0.017222766562305137,78326,Control
2007,Oklahoma,Pittsburg County,0.017222766562305137,44423,Control
2007,Oklahoma,Pontotoc County,0.017222766562305137,36411,Control
2007,Oklahoma,Pottawatomie County,0.017348561515107705,69170,Control
2007,Oklahoma,Pushmataha County,0.017222766562305137,11624,Control
2007,Oklahoma,Roger Mills County,0.017222766562305137,3273,Control
2007,Oklahoma,Rogers County,0.017222766562305137,83188,Control
2007,Oklahoma,Seminole County,0.017222766562305137,24025,Control
2007,Oklahoma,Sequoyah County,0.017222766562305137,40975,Control
2007,Oklahoma,Stephens County,0.017222766562305137,43148,Control
2007,Oklahoma,Texas County,0.017222766562305137,20151,Control
2007,Oklahoma,Tillman County,0.017222766562305137,8108,Control
2007,Oklahoma,Tulsa County,0.023573342990432296,585407,Control
