STNAME,CTYNAME,YEAR,POPULATION
Illinois,Rock Island County,2004,146817
Illinois,St. Clair County,2004,258406
Illinois,Saline County,2004,26128
Illinois,Sangamon County,2004,192270
Illinois,Schuyler County,2004,7024
Illinois,Scott County,2004,5368
Illinois,Shelby County,2004,22156
Illinois,Stark County,2004,6141
Illinois,Stephenson County,2004,47822
Illinois,Tazewell County,2004,128349
Illinois,Union County,2004,18076
Illinois,Vermilion County,2004,82136
Illinois,Wabash County,2004,12458
Illinois,Warren County,2004,17758
Illinois,Washington County,2004,15002
Illinois,Wayne County,2004,16673
Illinois,White County,2004,15010
Illinois,Whiteside County,2004,59433
Illinois,Will County,2004,608245
Illinois,Williamson County,2004,63064
Illinois,Winnebago County,2004,286929
Illinois,Woodford County,2004,36503
Illinois,Adams County,2005,66750
Illinois,Alexander County,2005,8629
Illinois,Bond County,2005,18120
Illinois,Boone County,2005,49455
Illinois,Brown County,2005,6681
Illinois,Bureau County,2005,34756
Illinois,Calhoun County,2005,5117
Illinois,Carroll County,2005,16001
Illinois,Cass County,2005,13602
Illinois,Champaign County,2005,187870
Illinois,Christian County,2005,34786
Illinois,Clark County,2005,16827
Illinois,Clay County,2005,13924
Illinois,Clinton County,2005,35987
Illinois,Coles County,2005,52038
Illinois,Cook County,2005,5268513
Illinois,Crawford County,2005,19754
Illinois,Cumberland County,2005,10841
Illinois,DeKalb County,2005,99485
Illinois,De Witt County,2005,16400
Illinois,Douglas County,2005,19652
Illinois,DuPage County,2005,922589
Illinois,Edgar County,2005,18946
Illinois,Edwards County,2005,6647
Illinois,Effingham County,2005,34384
Illinois,Fayette County,2005,21139
Illinois,Ford County,2005,13975
Illinois,Franklin County,2005,39381
Illinois,Fulton County,2005,37121
Illinois,Gallatin County,2005,6069
Illinois,Greene County,2005,14102
Illinois,Grundy County,2005,43443
Illinois,Hamilton County,2005,8277
Illinois,Hancock County,2005,19036
Illinois,Hardin County,2005,4617
Illinois,Henderson County,2005,7780
Illinois,Henry County,2005,49838
Illinois,Iroquois County,2005,30331
Illinois,Jackson County,2005,59095
Illinois,Jasper County,2005,9787
Illinois,Jefferson County,2005,40097
Illinois,Jersey County,2005,22181
Illinois,Jo Daviess County,2005,22244
Illinois,Johnson County,2005,13486
Illinois,Kane County,2005,475350
Illinois,Kankakee County,2005,108453
Illinois,Kendall County,2005,79054
Illinois,Knox County,2005,52729
Illinois,Lake County,2005,691815
Illinois,LaSalle County,2005,111660
Illinois,Lawrence County,2005,16730
Illinois,Lee County,2005,34863
Illinois,Livingston County,2005,38236
Illinois,Logan County,2005,30211
Illinois,McDonough County,2005,32930
Illinois,McHenry County,2005,301741
Illinois,McLean County,2005,159374
Illinois,Macon County,2005,109582
Illinois,Macoupin County,2005,48416
Illinois,Madison County,2005,264911
Illinois,Marion County,2005,39688
Illinois,Marshall County,2005,12934
Illinois,Mason County,2005,15450
Illinois,Massac County,2005,15211
Illinois,Menard County,2005,12394
Illinois,Mercer County,2005,16554
Illinois,Monroe County,2005,31300
Illinois,Montgomery County,2005,29958
Illinois,Morgan County,2005,35662
Illinois,Moultrie County,2005,14338
Illinois,Ogle County,2005,53935
Illinois,Peoria County,2005,182105
Illinois,Perry County,2005,22569
Illinois,Piatt County,2005,16495
Illinois,Pike County,2005,16719
Illinois,Pope County,2005,4107
Illinois,Pulaski County,2005,6663
Illinois,Putnam County,2005,5973
Illinois,Randolph County,2005,33015
Illinois,Richland County,2005,15841
Illinois,Rock Island County,2005,146451
Illinois,St. Clair County,2005,258849
Illinois,Saline County,2005,25961
Illinois,Sangamon County,2005,192622
Illinois,Schuyler County,2005,7065
Illinois,Scott County,2005,5333
Illinois,Shelby County,2005,22033
Illinois,Stark County,2005,6094
Illinois,Stephenson County,2005,47290
Illinois,Tazewell County,2005,129176
Illinois,Union County,2005,18100
Illinois,Vermilion County,2005,81696
Illinois,Wabash County,2005,12412
Illinois,Warren County,2005,17704
Illinois,Washington County,2005,14820
Illinois,Wayne County,2005,16640
Illinois,White County,2005,14975
Illinois,Whiteside County,2005,59175
Illinois,Will County,2005,631397
Illinois,Williamson County,2005,63493
Illinois,Winnebago County,2005,289422
Illinois,Woodford County,2005,37025
Illinois,Adams County,2006,66922
Illinois,Alexander County,2006,8410
Illinois,Bond County,2006,18143
Illinois,Boone County,2006,51472
Illinois,Brown County,2006,6601
Illinois,Bureau County,2006,34914
Illinois,Calhoun County,2006,5121
Illinois,Carroll County,2006,15972
Illinois,Cass County,2006,13529
Illinois,Champaign County,2006,190599
Illinois,Christian County,2006,34642
Illinois,Clark County,2006,16786
Illinois,Clay County,2006,13815
Illinois,Clinton County,2006,36202
Illinois,Coles County,2006,52238
Illinois,Cook County,2006,5236986
Illinois,Crawford County,2006,19619
Illinois,Cumberland County,2006,10856
Illinois,DeKalb County,2006,102752
Illinois,De Witt County,2006,16419
Illinois,Douglas County,2006,19580
Illinois,DuPage County,2006,922190
Illinois,Edgar County,2006,18900
Illinois,Edwards County,2006,6520
Illinois,Effingham County,2006,34315
Illinois,Fayette County,2006,21086
Illinois,Ford County,2006,13957
Illinois,Franklin County,2006,39309
Illinois,Fulton County,2006,36984
Illinois,Gallatin County,2006,6026
Illinois,Greene County,2006,13862
Illinois,Grundy County,2006,45602
Illinois,Hamilton County,2006,8264
Illinois,Hancock County,2006,18893
Illinois,Hardin County,2006,4506
Illinois,Henderson County,2006,7602
Illinois,Henry County,2006,49526
Illinois,Iroquois County,2006,30063
Illinois,Jackson County,2006,59064
Illinois,Jasper County,2006,9669
Illinois,Jefferson County,2006,40109
Illinois,Jersey County,2006,22354
Illinois,Jo Daviess County,2006,22309
Illinois,Johnson County,2006,13687
Illinois,Kane County,2006,485142
Illinois,Kankakee County,2006,110108
Illinois,Kendall County,2006,87864
Illinois,Knox County,2006,52300
Illinois,Lake County,2006,698305
Illinois,LaSalle County,2006,112075
Illinois,Lawrence County,2006,16489
Illinois,Lee County,2006,34963
Illinois,Livingston County,2006,37997
Illinois,Logan County,2006,29938
Illinois,McDonough County,2006,32968
Illinois,McHenry County,2006,309214
Illinois,McLean County,2006,161802
Illinois,Macon County,2006,109025
Illinois,Macoupin County,2006,48165
Illinois,Madison County,2006,266119
Illinois,Marion County,2006,39736
Illinois,Marshall County,2006,12877
Illinois,Mason County,2006,15129
Illinois,Massac County,2006,15085
Illinois,Menard County,2006,12376
Illinois,Mercer County,2006,16478
Illinois,Monroe County,2006,31944
Illinois,Montgomery County,2006,29959
Illinois,Morgan County,2006,35435
Illinois,Moultrie County,2006,14270
Illinois,Ogle County,2006,54621
Illinois,Peoria County,2006,182550
Illinois,Perry County,2006,22667
Illinois,Piatt County,2006,16500
Illinois,Pike County,2006,16460
Illinois,Pope County,2006,4110
Illinois,Pulaski County,2006,6518
Illinois,Putnam County,2006,5925
Illinois,Randolph County,2006,33001
Illinois,Richland County,2006,15678
Illinois,Rock Island County,2006,146341
Illinois,St. Clair County,2006,260503
Illinois,Saline County,2006,25996
Illinois,Sangamon County,2006,193305
Illinois,Schuyler County,2006,6987
Illinois,Scott County,2006,5248
Illinois,Shelby County,2006,21890
Illinois,Stark County,2006,6106
Illinois,Stephenson County,2006,46957
Illinois,Tazewell County,2006,129837
Illinois,Union County,2006,18118
Illinois,Vermilion County,2006,81502
Illinois,Wabash County,2006,12306
Illinois,Warren County,2006,17639
Illinois,Washington County,2006,14852
Illinois,Wayne County,2006,16504
Illinois,White County,2006,14826
Illinois,Whiteside County,2006,59135
Illinois,Will County,2006,656075
Illinois,Williamson County,2006,63543
Illinois,Winnebago County,2006,292797
Illinois,Woodford County,2006,37376
Illinois,Adams County,2007,66840
Illinois,Alexander County,2007,8206
Illinois,Bond County,2007,18312
Illinois,Boone County,2007,53162
Illinois,Brown County,2007,6530
Illinois,Bureau County,2007,34849
Illinois,Calhoun County,2007,5097
Illinois,Carroll County,2007,15861
Illinois,Cass County,2007,13609
Illinois,Champaign County,2007,192975
Illinois,Christian County,2007,34566
Illinois,Clark County,2007,16831
Illinois,Clay County,2007,13705
Illinois,Clinton County,2007,36216
Illinois,Coles County,2007,52270
Illinois,Cook County,2007,5235762
Illinois,Crawford County,2007,19502
Illinois,Cumberland County,2007,10795
Illinois,DeKalb County,2007,105321
Illinois,De Witt County,2007,16327
Illinois,Douglas County,2007,19466
Illinois,DuPage County,2007,922948
Illinois,Edgar County,2007,18811
Illinois,Edwards County,2007,6525
Illinois,Effingham County,2007,34246
Illinois,Fayette County,2007,20959
Illinois,Ford County,2007,14056
Illinois,Franklin County,2007,39217
Illinois,Fulton County,2007,36831
Illinois,Gallatin County,2007,5940
