STNAME,CTYNAME,YEAR,POPULATION
Oklahoma,Hughes County,2007,13651
Oklahoma,Jackson County,2007,25739
Oklahoma,Jefferson County,2007,6228
Oklahoma,Johnston County,2007,10458
Oklahoma,Kay County,2007,45955
Oklahoma,Kingfisher County,2007,14279
Oklahoma,Kiowa County,2007,9300
Oklahoma,Latimer County,2007,10442
Oklahoma,Le Flore County,2007,49625
Oklahoma,Lincoln County,2007,32217
Oklahoma,Logan County,2007,37330
Oklahoma,Love County,2007,9062
Oklahoma,McClain County,2007,31892
Oklahoma,McCurtain County,2007,33472
Oklahoma,McIntosh County,2007,19659
Oklahoma,Major County,2007,7184
Oklahoma,Marshall County,2007,14871
Oklahoma,Mayes County,2007,39769
Oklahoma,Murray County,2007,12646
Oklahoma,Muskogee County,2007,70686
Oklahoma,Noble County,2007,10964
Oklahoma,Nowata County,2007,10708
Oklahoma,Okfuskee County,2007,11186
Oklahoma,Oklahoma County,2007,699523
Oklahoma,Okmulgee County,2007,39269
Oklahoma,Osage County,2007,45269
Oklahoma,Ottawa County,2007,32234
Oklahoma,Pawnee County,2007,16490
Oklahoma,Payne County,2007,78326
Oklahoma,Pittsburg County,2007,44423
Oklahoma,Pontotoc County,2007,36411
Oklahoma,Pottawatomie County,2007,69170
Oklahoma,Pushmataha County,2007,11624
Oklahoma,Roger Mills County,2007,3273
Oklahoma,Rogers County,2007,83188
Oklahoma,Seminole County,2007,24025
Oklahoma,Sequoyah County,2007,40975
Oklahoma,Stephens County,2007,43148
Oklahoma,Texas County,2007,20151
Oklahoma,Tillman County,2007,8108
Oklahoma,Tulsa County,2007,585407
Oklahoma,Wagoner County,2007,67220
Oklahoma,Washington County,2007,49903
Oklahoma,Washita County,2007,11630
Oklahoma,Woods County,2007,8471
Oklahoma,Woodward County,2007,19595
Oklahoma,Adair County,2008,21857
Oklahoma,Alfalfa County,2008,5565
Oklahoma,Atoka County,2008,14573
Oklahoma,Beaver County,2008,5242
Oklahoma,Beckham County,2008,21494
Oklahoma,Blaine County,2008,12668
Oklahoma,Bryan County,2008,40463
Oklahoma,Caddo County,2008,29329
Oklahoma,Canadian County,2008,106755
Oklahoma,Carter County,2008,47716
Oklahoma,Cherokee County,2008,45667
Oklahoma,Choctaw County,2008,14885
Oklahoma,Cimarron County,2008,2585
