STNAME,CTYNAME,YEAR,POPULATION,Deaths,Death Rate (%),Indicator
Colorado,San Juan County,2005,565,4.0,0.7079646017699115,Control
Colorado,San Miguel County,2005,7193,1.0,0.013902405116085082,Control
Colorado,Sedgwick County,2005,2471,1.0,0.04046944556859571,Control
Colorado,Summit County,2005,25287,4.0,0.015818404713884605,Control
Colorado,Teller County,2005,21282,0.0,0.0,Control
Colorado,Washington County,2005,4718,3.0,0.0635862653666808,Control
Colorado,Weld County,2005,225856,9.0,0.003984839897988098,Control
Colorado,Yuma County,2005,9613,1.0,0.010402579839800271,Control
Colorado,Adams County,2006,409532,62.0,0.015139232099078949,Control
Colorado,Alamosa County,2006,15288,1.0,0.006541077969649398,Control
Colorado,Arapahoe County,2006,532347,66.0,0.012397928418869646,Control
Colorado,Archuleta County,2006,12096,6.0,0.0496031746031746,Control
Colorado,Baca County,2006,3912,9.0,0.23006134969325154,Control
Colorado,Bent County,2006,6070,8.0,0.13179571663920922,Control
Colorado,Boulder County,2006,291449,40.0,0.013724528133567108,Control
Colorado,Broomfield County,2006,51454,8.0,0.015547867998600692,Control
Colorado,Chaffee County,2006,16626,2.0,0.012029351617947793,Control
Colorado,Cheyenne County,2006,1833,0.0,0.0,Control
Colorado,Clear Creek County,2006,8869,8.0,0.09020182658698839,Control
Colorado,Conejos County,2006,8083,1.0,0.012371644191513051,Control
Colorado,Costilla County,2006,3341,4.0,0.11972463334331039,Control
Colorado,Crowley County,2006,6242,2.0,0.03204101249599487,Control
Colorado,Custer County,2006,3863,1.0,0.02588661661920787,Control
Colorado,Delta County,2006,29899,9.0,0.03010134118197933,Control
Colorado,Denver County,2006,568692,144.0,0.0253212635310502,Control
Colorado,Dolores County,2006,1892,9.0,0.47568710359408034,Control
Colorado,Douglas County,2006,259881,19.0,0.007311038513781307,Control
Colorado,Eagle County,2006,49112,3.0,0.006108486724222186,Control
Colorado,Elbert County,2006,22648,1.0,0.004415400918403391,Control
Colorado,El Paso County,2006,579710,68.0,0.011730002932500733,Control
Colorado,Fremont County,2006,47203,6.0,0.012711056500646146,Control
Colorado,Garfield County,2006,51111,1.0,0.0019565259924478095,Control
Colorado,Gilpin County,2006,5034,6.0,0.11918951132300358,Control
Colorado,Grand County,2006,13373,0.0,0.0,Control
Colorado,Gunnison County,2006,14656,8.0,0.05458515283842795,Control
Colorado,Hinsdale County,2006,816,6.0,0.7352941176470589,Control
Colorado,Huerfano County,2006,7774,3.0,0.038590172369436584,Control
Colorado,Jackson County,2006,1383,8.0,0.5784526391901663,Control
