STNAME,CTYNAME,YEAR,POPULATION,BUYER_COUNTY_x,BUYER_STATE_x,FIPS Code,State_x,BUYER_STATE_y,BUYER_COUNTY_y,MME,State_y
Florida,BAY,2014,178435,BAY,FL,12005,Florida,FL,BAY,86645174.0029125,Florida
Florida,BRADFORD,2006,28610,BRADFORD,FL,12007,Florida,FL,BRADFORD,13424830.8949,Florida
Florida,BRADFORD,2007,28997,BRADFORD,FL,12007,Florida,FL,BRADFORD,15854865.475125,Florida
Florida,BRADFORD,2008,29171,BRADFORD,FL,12007,Florida,FL,BRADFORD,17501063.6835,Florida
Florida,BRADFORD,2009,29235,BRADFORD,FL,12007,Florida,FL,BRADFORD,21250949.6668125,Florida
Florida,BRADFORD,2010,28536,BRADFORD,FL,12007,Florida,FL,BRADFORD,26551078.9838625,Florida
Florida,BRADFORD,2011,28430,BRADFORD,FL,12007,Florida,FL,BRADFORD,21271099.1925,Florida
Florida,BRADFORD,2012,27052,BRADFORD,FL,12007,Florida,FL,BRADFORD,16872471.0225,Florida
Florida,BRADFORD,2013,26804,BRADFORD,FL,12007,Florida,FL,BRADFORD,13760352.6375,Florida
Florida,BRADFORD,2014,26562,BRADFORD,FL,12007,Florida,FL,BRADFORD,13171830.795,Florida
Florida,BREVARD,2006,530319,BREVARD,FL,12009,Florida,FL,BREVARD,201186153.403075,Florida
Florida,BREVARD,2007,534407,BREVARD,FL,12009,Florida,FL,BREVARD,246505683.9382375,Florida
Florida,BREVARD,2008,536314,BREVARD,FL,12009,Florida,FL,BREVARD,317947599.2637875,Florida
Florida,BREVARD,2009,536357,BREVARD,FL,12009,Florida,FL,BREVARD,365366249.71935,Florida
Florida,BREVARD,2010,544000,BREVARD,FL,12009,Florida,FL,BREVARD,508840976.4944625,Florida
Florida,BREVARD,2011,544442,BREVARD,FL,12009,Florida,FL,BREVARD,481720149.90375,Florida
Florida,BREVARD,2012,547119,BREVARD,FL,12009,Florida,FL,BREVARD,363107377.34235,Florida
Florida,BREVARD,2013,550478,BREVARD,FL,12009,Florida,FL,BREVARD,310121675.5176375,Florida
Florida,BREVARD,2014,555838,BREVARD,FL,12009,Florida,FL,BREVARD,309296956.0606125,Florida
Florida,BROWARD,2006,1762334,BROWARD,FL,12011,Florida,FL,BROWARD,1222607389.6560626,Florida
Florida,BROWARD,2007,1746968,BROWARD,FL,12011,Florida,FL,BROWARD,1720337481.7214875,Florida
Florida,BROWARD,2008,1753262,BROWARD,FL,12011,Florida,FL,BROWARD,2180537488.6392627,Florida
Florida,BROWARD,2009,1766476,BROWARD,FL,12011,Florida,FL,BROWARD,2584508114.01662,Florida
Florida,BROWARD,2010,1752843,BROWARD,FL,12011,Florida,FL,BROWARD,3026736844.585425,Florida
Florida,BROWARD,2011,1787096,BROWARD,FL,12011,Florida,FL,BROWARD,1492503447.6553874,Florida
Florida,BROWARD,2012,1814468,BROWARD,FL,12011,Florida,FL,BROWARD,809178909.6923625,Florida
Florida,BROWARD,2013,1836869,BROWARD,FL,12011,Florida,FL,BROWARD,591502285.96935,Florida
Florida,BROWARD,2014,1861259,BROWARD,FL,12011,Florida,FL,BROWARD,569999600.4909375,Florida
Florida,CALHOUN,2006,13394,CALHOUN,FL,12013,Florida,FL,CALHOUN,1851905.823,Florida
Florida,CALHOUN,2007,13515,CALHOUN,FL,12013,Florida,FL,CALHOUN,2021532.2535,Florida
Florida,CALHOUN,2008,13543,CALHOUN,FL,12013,Florida,FL,CALHOUN,2225156.55,Florida
Florida,CALHOUN,2009,13821,CALHOUN,FL,12013,Florida,FL,CALHOUN,2580235.47,Florida
Florida,CALHOUN,2010,14657,CALHOUN,FL,12013,Florida,FL,CALHOUN,2722435.965,Florida
Florida,CALHOUN,2011,14725,CALHOUN,FL,12013,Florida,FL,CALHOUN,2810688.7313625,Florida
Florida,CALHOUN,2012,14673,CALHOUN,FL,12013,Florida,FL,CALHOUN,2793381.48,Florida
Florida,CALHOUN,2013,14582,CALHOUN,FL,12013,Florida,FL,CALHOUN,2826420.5288625,Florida
Florida,CALHOUN,2014,14456,CALHOUN,FL,12013,Florida,FL,CALHOUN,2960742.6975,Florida
Florida,CHARLOTTE,2006,154885,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,82123597.1579375,Florida
Florida,CHARLOTTE,2007,157235,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,103366666.8672,Florida
Florida,CHARLOTTE,2008,157736,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,142308398.400525,Florida
Florida,CHARLOTTE,2009,156952,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,191565348.6274875,Florida
Florida,CHARLOTTE,2010,159897,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,230654246.589525,Florida
Florida,CHARLOTTE,2011,159926,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,207165206.2881375,Florida
Florida,CHARLOTTE,2012,162840,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,120917427.198375,Florida
Florida,CHARLOTTE,2013,164801,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,82992538.080225,Florida
Florida,CHARLOTTE,2014,168208,CHARLOTTE,FL,12015,Florida,FL,CHARLOTTE,82174947.690225,Florida
Florida,CITRUS,2006,136796,CITRUS,FL,12017,Florida,FL,CITRUS,49646891.0293375,Florida
Florida,CITRUS,2007,139838,CITRUS,FL,12017,Florida,FL,CITRUS,58420509.5731125,Florida
Florida,CITRUS,2008,140865,CITRUS,FL,12017,Florida,FL,CITRUS,71761417.6846625,Florida
Florida,CITRUS,2009,140357,CITRUS,FL,12017,Florida,FL,CITRUS,81649551.25245,Florida
Florida,CITRUS,2010,141177,CITRUS,FL,12017,Florida,FL,CITRUS,111738273.3277875,Florida
Florida,CITRUS,2011,139782,CITRUS,FL,12017,Florida,FL,CITRUS,148717253.4045375,Florida
Florida,CITRUS,2012,139215,CITRUS,FL,12017,Florida,FL,CITRUS,101576393.30385,Florida
Florida,CITRUS,2013,138888,CITRUS,FL,12017,Florida,FL,CITRUS,77398689.5368125,Florida
Florida,CITRUS,2014,138907,CITRUS,FL,12017,Florida,FL,CITRUS,73705624.816575,Florida
Florida,CLAY,2006,176720,CLAY,FL,12019,Florida,FL,CLAY,69327289.9772,Florida
Florida,CLAY,2007,182392,CLAY,FL,12019,Florida,FL,CLAY,85815940.69482501,Florida
Florida,CLAY,2008,185102,CLAY,FL,12019,Florida,FL,CLAY,98532925.9160125,Florida
Florida,CLAY,2009,186756,CLAY,FL,12019,Florida,FL,CLAY,125011367.1661125,Florida
Florida,CLAY,2010,191453,CLAY,FL,12019,Florida,FL,CLAY,144996735.7280625,Florida
Florida,CLAY,2011,192335,CLAY,FL,12019,Florida,FL,CLAY,149491520.33715,Florida
Florida,CLAY,2012,193909,CLAY,FL,12019,Florida,FL,CLAY,134424406.2445125,Florida
Florida,CLAY,2013,195732,CLAY,FL,12019,Florida,FL,CLAY,108168341.2847625,Florida
Florida,CLAY,2014,198687,CLAY,FL,12019,Florida,FL,CLAY,95418837.420675,Florida
Florida,COLLIER,2006,311650,COLLIER,FL,12021,Florida,FL,COLLIER,107528680.73415,Florida
Florida,COLLIER,2007,313463,COLLIER,FL,12021,Florida,FL,COLLIER,129910312.756925,Florida
Florida,COLLIER,2008,315533,COLLIER,FL,12021,Florida,FL,COLLIER,147472347.386,Florida
Florida,COLLIER,2009,318537,COLLIER,FL,12021,Florida,FL,COLLIER,202995696.267675,Florida
Florida,COLLIER,2010,322576,COLLIER,FL,12021,Florida,FL,COLLIER,237663779.7535875,Florida
Florida,COLLIER,2011,327670,COLLIER,FL,12021,Florida,FL,COLLIER,198903375.2560875,Florida
Florida,COLLIER,2012,332330,COLLIER,FL,12021,Florida,FL,COLLIER,141917084.2426875,Florida
Florida,COLLIER,2013,339133,COLLIER,FL,12021,Florida,FL,COLLIER,121062513.3206625,Florida
Florida,COLLIER,2014,347401,COLLIER,FL,12021,Florida,FL,COLLIER,110104553.5518,Florida
Florida,COLUMBIA,2006,66975,COLUMBIA,FL,12023,Florida,FL,COLUMBIA,27550681.7085875,Florida
Florida,COLUMBIA,2007,67927,COLUMBIA,FL,12023,Florida,FL,COLUMBIA,30011436.1680125,Florida
Florida,COLUMBIA,2008,68901,COLUMBIA,FL,12023,Florida,FL,COLUMBIA,37731017.1378125,Florida
Florida,COLUMBIA,2009,69264,COLUMBIA,FL,12023,Florida,FL,COLUMBIA,40150096.770225,Florida
Florida,COLUMBIA,2010,67558,COLUMBIA,FL,12023,Florida,FL,COLUMBIA,54609827.27295,Florida
