STNAME,CTYNAME,YEAR,POPULATION
New York,Warren County,2010,65668
New York,Washington County,2010,63359
New York,Wayne County,2010,93751
New York,Westchester County,2010,950760
New York,Wyoming County,2010,42125
New York,Yates County,2010,25376
New York,Albany County,2011,304627
New York,Allegany County,2011,48808
New York,Bronx County,2011,1396954
New York,Broome County,2011,199367
New York,Cattaraugus County,2011,79820
New York,Cayuga County,2011,79707
New York,Chautauqua County,2011,134227
New York,Chemung County,2011,88916
New York,Chenango County,2011,50196
New York,Clinton County,2011,81735
New York,Columbia County,2011,62532
New York,Cortland County,2011,49382
New York,Delaware County,2011,47584
New York,Dutchess County,2011,298141
New York,Erie County,2011,919901
New York,Essex County,2011,39277
New York,Franklin County,2011,51544
New York,Fulton County,2011,55116
New York,Genesee County,2011,59894
New York,Greene County,2011,48858
New York,Hamilton County,2011,4827
New York,Herkimer County,2011,64388
New York,Jefferson County,2011,117809
New York,Kings County,2011,2540918
New York,Lewis County,2011,27021
New York,Livingston County,2011,64834
New York,Madison County,2011,72898
New York,Monroe County,2011,746821
New York,Montgomery County,2011,49919
New York,Nassau County,2011,1346207
New York,New York County,2011,1608717
New York,Niagara County,2011,215726
New York,Oneida County,2011,234226
New York,Onondaga County,2011,467679
New York,Ontario County,2011,108616
New York,Orange County,2011,374171
New York,Orleans County,2011,42653
New York,Oswego County,2011,121987
New York,Otsego County,2011,61979
New York,Putnam County,2011,99805
New York,Queens County,2011,2255261
New York,Rensselaer County,2011,159606
New York,Richmond County,2011,471014
New York,Rockland County,2011,315448
New York,St. Lawrence County,2011,112290
New York,Saratoga County,2011,221136
New York,Schenectady County,2011,154882
New York,Schoharie County,2011,32619
New York,Schuyler County,2011,18421
New York,Seneca County,2011,35325
New York,Steuben County,2011,99117
New York,Suffolk County,2011,1498910
New York,Sullivan County,2011,77061
New York,Tioga County,2011,50889
New York,Tompkins County,2011,101861
New York,Ulster County,2011,182458
New York,Warren County,2011,65750
New York,Washington County,2011,63100
New York,Wayne County,2011,93258
New York,Westchester County,2011,956423
New York,Wyoming County,2011,41852
New York,Yates County,2011,25453
New York,Albany County,2012,305776
New York,Allegany County,2012,48221
New York,Bronx County,2012,1411087
New York,Broome County,2012,198689
New York,Cattaraugus County,2012,79354
New York,Cayuga County,2012,79524
New York,Chautauqua County,2012,133333
New York,Chemung County,2012,89162
New York,Chenango County,2012,49898
New York,Clinton County,2012,81730
New York,Columbia County,2012,62450
New York,Cortland County,2012,49028
New York,Delaware County,2012,47217
New York,Dutchess County,2012,297028
New York,Erie County,2012,919998
New York,Essex County,2012,38884
New York,Franklin County,2012,51791
New York,Fulton County,2012,54851
New York,Genesee County,2012,59684
New York,Greene County,2012,48589
New York,Hamilton County,2012,4803
New York,Herkimer County,2012,64232
New York,Jefferson County,2012,120335
New York,Kings County,2012,2568538
New York,Lewis County,2012,27190
New York,Livingston County,2012,64780
New York,Madison County,2012,72438
New York,Monroe County,2012,747468
New York,Montgomery County,2012,49836
New York,Nassau County,2012,1349753
New York,New York County,2012,1624573
New York,Niagara County,2012,214724
New York,Oneida County,2012,233778
New York,Onondaga County,2012,467138
New York,Ontario County,2012,108641
New York,Orange County,2012,373795
New York,Orleans County,2012,42396
New York,Oswego County,2012,121469
New York,Otsego County,2012,61763
New York,Putnam County,2012,99600
New York,Queens County,2012,2271920
New York,Rensselaer County,2012,159466
New York,Richmond County,2012,470597
New York,Rockland County,2012,317201
New York,St. Lawrence County,2012,112388
New York,Saratoga County,2012,222527
New York,Schenectady County,2012,155044
New York,Schoharie County,2012,32038
New York,Schuyler County,2012,18505
New York,Seneca County,2012,35354
New York,Steuben County,2012,98903
New York,Suffolk County,2012,1497017
New York,Sullivan County,2012,76940
New York,Tioga County,2012,50297
New York,Tompkins County,2012,102800
New York,Ulster County,2012,181555
New York,Warren County,2012,65438
New York,Washington County,2012,63016
New York,Wayne County,2012,93038
New York,Westchester County,2012,959731
New York,Wyoming County,2012,41702
New York,Yates County,2012,25341
New York,Albany County,2013,306661
New York,Allegany County,2013,47918
New York,Bronx County,2013,1421498
New York,Broome County,2013,197953
New York,Cattaraugus County,2013,79003
New York,Cayuga County,2013,79112
New York,Chautauqua County,2013,132884
New York,Chemung County,2013,88230
New York,Chenango County,2013,49489
New York,Clinton County,2013,81544
New York,Columbia County,2013,62153
New York,Cortland County,2013,48913
New York,Delaware County,2013,46806
New York,Dutchess County,2013,296292
New York,Erie County,2013,921015
New York,Essex County,2013,38610
New York,Franklin County,2013,51222
New York,Fulton County,2013,54353
New York,Genesee County,2013,59127
New York,Greene County,2013,48308
New York,Hamilton County,2013,4766
New York,Herkimer County,2013,63888
New York,Jefferson County,2013,118617
New York,Kings County,2013,2587759
New York,Lewis County,2013,27092
New York,Livingston County,2013,64612
New York,Madison County,2013,72490
New York,Monroe County,2013,748456
New York,Montgomery County,2013,49754
New York,Nassau County,2013,1352355
New York,New York County,2013,1628379
New York,Niagara County,2013,214125
New York,Oneida County,2013,233370
New York,Onondaga County,2013,468302
New York,Ontario County,2013,109081
New York,Orange County,2013,374417
New York,Orleans County,2013,42233
New York,Oswego County,2013,121187
New York,Otsego County,2013,61637
New York,Putnam County,2013,99546
New York,Queens County,2013,2286788
New York,Rensselaer County,2013,159590
New York,Richmond County,2013,471783
New York,Rockland County,2013,319290
New York,St. Lawrence County,2013,111967
New York,Saratoga County,2013,224151
New York,Schenectady County,2013,154978
New York,Schoharie County,2013,31902
New York,Schuyler County,2013,18391
New York,Seneca County,2013,35244
New York,Steuben County,2013,98826
New York,Suffolk County,2013,1497389
New York,Sullivan County,2013,76957
New York,Tioga County,2013,50128
New York,Tompkins County,2013,103668
New York,Ulster County,2013,180722
New York,Warren County,2013,65111
New York,Washington County,2013,62785
New York,Wayne County,2013,92360
New York,Westchester County,2013,964713
New York,Wyoming County,2013,41369
New York,Yates County,2013,25219
New York,Albany County,2014,307246
